-Q19164038	P304	"233–235, 246–248, 264–267"
-Q19164038	P433	"15–17"
Q62617246	P304	"766–771"	P433	"46"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P433	"46"	P304	"766–771"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P304	"784–787"	P433	"47"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P433	"47"	P304	"784–787"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P304	"800–803"	P433	"48"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P433	"48"	P304	"800–803"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
Q62617246	P1433	Q655617	P304	"669–675"	P304	"685–691"	P304	"702–707"	P304	"718–723"	P304	"732–738"	P304	"751–755"	P304	"766–771"	P304	"784–787"	P304	"800–803"	P433	"40–48"	P577	+1897-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ff66afb5325d6ee126eae073c78a71a59f3e65ff"
-Q62610393	P304	"125–126;270-272"
-Q62610393	P433	"11; 23"
Q62610393	P304	"125–126"	P433	"11"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5ec7a8916c173ac1f9a773777e7725b601f87ba6"
Q62610393	P433	"11"	P304	"125–126"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5ec7a8916c173ac1f9a773777e7725b601f87ba6"
Q62610393	P304	"270-272"	P433	"23"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5ec7a8916c173ac1f9a773777e7725b601f87ba6"
Q62610393	P433	"23"	P304	"270-272"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5ec7a8916c173ac1f9a773777e7725b601f87ba6"
Q62610393	P1433	Q655617	P304	"125–126"	P304	"270-272"	P433	"11; 23"	P577	+1854-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5ec7a8916c173ac1f9a773777e7725b601f87ba6"
-Q62611753	P304	"375-377; 388–392"
-Q62611753	P433	"24–25"
Q62611753	P304	"375-377"	P433	"24"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/85703e313c7610762ab01bd11dd56ccf670ec0c3"
Q62611753	P433	"24"	P304	"375-377"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/85703e313c7610762ab01bd11dd56ccf670ec0c3"
Q62611753	P304	"388–392"	P433	"25"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/85703e313c7610762ab01bd11dd56ccf670ec0c3"
Q62611753	P433	"25"	P304	"388–392"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/85703e313c7610762ab01bd11dd56ccf670ec0c3"
Q62611753	P1433	Q655617	P304	"375-377"	P304	"388–392"	P433	"24–25"	P577	+1861-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/85703e313c7610762ab01bd11dd56ccf670ec0c3"
-Q62611298	P304	"588–591, 605-608"
-Q62611298	P433	"41–42"
Q62611298	P304	"588–591"	P433	"41"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6ab28bc1f6191652731726c8bc9fda19ac7265d2"
Q62611298	P433	"41"	P304	"588–591"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6ab28bc1f6191652731726c8bc9fda19ac7265d2"
Q62611298	P304	"605-608"	P433	"42"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6ab28bc1f6191652731726c8bc9fda19ac7265d2"
Q62611298	P433	"42"	P304	"605-608"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6ab28bc1f6191652731726c8bc9fda19ac7265d2"
